,song,contains_similar,similar_word_counts
13,Does Your Mother Know,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
14,Dream World,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
15,Dum Dum Diddle,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
16,Eagle,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
17,Every Good Man,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
18,Fernando,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 1, 'anybody': 0, 'fear': 0, '?': 0}"
19,Fernando (In Spanish),False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
20,Free As A Bumble Bee,True,"{'hatred': 0, 'shame': 1, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
21,From A Twinkling Star To A Passing Angel,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
22,Gimme Gimme Gimme,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
23,Givin' A Little Bit More,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
24,Gonna Sing You My Lovesong,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
25,Hamlet III,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
26,Happy Hawaii,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
27,Happy New Year,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
28,He Is Your Brother,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 1, 'fear': 0, '?': 0}"
29,Head Over Heels,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
30,Here We'll Stay,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
31,Hey Hey Helen,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
32,Hole In Your Soul,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
33,"Honey, Honey",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
34,I Am Just A Girl,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
35,I Am The City,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
36,"I Do, I Do, I Do, I Do, I Do",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
37,I Have A Dream,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
38,I Let The Music Speak,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
39,I Saw It In The Mirror,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 2, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
40,I Wonder (Departure),False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
41,I Wonder (Departure) [Live],False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
42,If It Wasn't For The Nights,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 2, '?': 0}"
43,I'm A Marionette,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
44,I've Been Waiting For You,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
45,Juper Jrouper,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 1, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
46,Just A Notion,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
47,King Kong Song,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
48,Kisses Of Fire,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
49,Knowing Me Knowing You,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
50,Lay All Your Love On Me,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 1, '?': 0}"
51,Like An Angel Passing Through My Room,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
52,Love Has It's Ways,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
53,Love Isn't Easy,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
54,Lovelight,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
55,Lovers,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
56,Mamma Mia,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
57,Man In The Middle,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
58,Me And Bobby And Bobby's Brother,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
59,Me And I,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
60,Merry-Go-Round,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
61,Midnight Special,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
62,Money Money Money,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
63,Move On,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
64,"My Love, My Life",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
65,My Mama Said,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
66,"Nina, Pretty Ballerina",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
67,On And On And On,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
68,"One Man, One Woman",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
69,One Of Us,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
70,Our Last Summer,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 2, '?': 0}"
71,People Need Love,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
72,Pick A Bale Of Cotton,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
73,Put On Your White Sombrero,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
74,Reina Danzante,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 1, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 1, 'fear': 0, '?': 0}"
75,Rikky Rock'n'Roller,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
76,Ring Ring,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
77,Rock Me,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
78,Rock 'n Roll Band,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
79,Rubber Ball Man,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
80,S. O. S.,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 1, '?': 0}"
81,Should I Laugh Or Cry,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
82,Sitting In The Palmtree,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
83,Slipping Through My Fingers,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
84,So Long,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
85,Soldiers,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
86,SOS,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
87,Summer Night City,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
88,Suzy-Hang-Around,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
89,Take A Chance,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
90,Take A Chance On Me,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 1, 'anybody': 0, 'fear': 0, '?': 0}"
91,Thank You For The Music,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
92,That's Me,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
93,The Day Before You Came,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
94,The King Has Lost His Crown,True,"{'hatred': 0, 'shame': 1, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
95,The Name Of The Game,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
96,The Piper,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 1, '?': 0}"
97,The Visitors,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
98,The Way Old Friends Do,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
99,The Winner Takes It All,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
100,Tiger,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 5, '?': 0}"
101,Tropical Loveland,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
102,Two For The Price Of One,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
103,Under Attack,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
104,Voulez Vous,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
105,Watch Out,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
106,Waterloo,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
107,We Wish You A Merry Christmas,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
108,What About Livingstone,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
109,When All Is Said And Done,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
110,When I Kissed The Teacher,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
111,Why Did It Have To Be Me?,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
112,You Owe Me One,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
